"	x	y	z	labels"
"0	315	328	409	left"
"1	313	329	409	left"
"2	314	328	410	left"
"3	313	329	410	left"
"4	313	328	410	left"
"5	313	328	410	left"
"6	314	329	410	left"
"7	313	328	410	left"
"8	314	328	410	left"
"9	313	328	410	left"
"10	337	335	278	right"
"11	338	332	276	right"
"12	339	337	281	right"
"13	341	330	280	right"
"14	342	334	282	right"
"15	340	333	279	right"
"16	338	331	281	right"
"17	337	332	278	right"
"18	338	335	278	right"
"19	341	330	279	right"
"20	270	315	335	up"
"21	267	319	336	up"
"22	263	316	336	up"
"23	258	318	334	up"
"24	270	317	339	up"
"25	263	316	334	up"
"26	259	317	333	up"
"27	271	319	336	up"
"28	278	322	342	up"
"29	274	319	341	up"
"30	386	368	361	down"
"31	385	359	360	down"
"32	382	377	361	down"
"33	399	363	365	down"
"34	389	370	363	down"
"35	386	369	362	down"
"36	385	365	360	down"
"37	389	372	365	down"
"38	389	364	362	down"
"39	385	372	365	down"
"39	385	372	365	down"
